Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,,14,37,0,0,local police
female,,21,32,0,0,local police
female,,15,28,1,1,state police
female,75,10,29,1,0,local police
male,75,10,46,1,0,local police
female,,10,42,1,0,local police
female,125,15,20,1,0,state police
male,75,10,26,0,0,state police
female,,24,28,1,0,local police
male,135,16,32,1,1,local police
female,,13,40,0,0,local police
male,175,20,57,1,0,state police
female,,8,30,1,0,local police
male,,10,25,1,1,local police
male,,14,44,1,0,local police
female,,5,27,1,0,state police
male,,10,54,1,0,local police
male,,15,34,1,0,local police
male,75,10,19,1,0,state police
female,,15,44,0,0,local police
female,,17,34,1,0,local police
female,,13,78,0,0,local police
male,,9,44,1,0,state police
male,235,26,23,1,0,local police
female,,16,49,1,0,local police
male,75,24,19,1,0,local police
male,145,17,20,1,0,local police
female,125,15,19,1,0,local police
female,,20,41,0,0,local police
female,,11,67,0,0,local police
female,,15,22,1,0,local police
female,105,13,25,1,1,state police
female,,11,29,0,0,local police
male,125,15,22,1,1,local police
female,125,15,37,1,0,state police
male,75,15,21,1,0,local police
female,,15,45,1,0,local police
male,,9,18,0,0,local police
female,,14,41,0,0,local police
male,,13,25,1,0,local police
male,,16,66,1,0,local police
female,,12,23,1,0,local police
female,75,21,20,1,0,local police
female,,17,43,1,1,local police
female,,28,27,1,0,state police
female,125,15,24,1,1,state police
male,135,16,17,0,0,local police
male,,20,48,1,0,local police
male,,16,43,1,0,local police
female,75,18,37,1,0,local police
male,265,29,35,1,0,state police
male,125,15,19,1,1,local police
male,,10,37,1,1,state police
male,75,10,20,1,0,local police
male,,15,38,1,1,local police
male,150,20,31,1,0,local police
male,,15,69,0,0,local police
female,,10,48,1,0,local police
female,50,20,27,0,0,local police
male,,14,35,0,0,local police
male,75,10,21,1,0,state police
male,,14,20,1,0,local police
male,,8,22,1,1,local police
male,70,12,17,0,0,local police
male,,14,52,0,0,local police
